epoch, i, loss
5, 38, 0.9838
5, 39, 0.9841
5, 40, 0.9817
5, 41, 0.9820
5, 42, 0.9854
6, 0, 0.9838
6, 1, 0.9824
6, 2, 0.9802
6, 3, 0.9826
6, 4, 0.9824
6, 5, 0.9827
6, 6, 0.9826
6, 7, 0.9808
6, 8, 0.9813
6, 9, 0.9829
6, 10, 0.9818
6, 11, 0.9839
6, 12, 0.9831
6, 13, 0.9808
6, 14, 0.9825
6, 15, 0.9827
6, 16, 0.9845
6, 17, 0.9833
6, 18, 0.9813
6, 19, 0.9804
6, 20, 0.9812
6, 21, 0.9823
6, 22, 0.9820
6, 23, 0.9827
6, 24, 0.9828
6, 25, 0.9827
6, 26, 0.9807
6, 27, 0.9823
6, 28, 0.9808
6, 29, 0.9808
6, 30, 0.9822
6, 31, 0.9833
6, 32, 0.9830
6, 33, 0.9805
6, 34, 0.9835
6, 35, 0.9822
6, 36, 0.9827
6, 37, 0.9829
6, 38, 0.9824
6, 39, 0.9805
6, 40, 0.9828
6, 41, 0.9819
6, 42, 0.9855
7, 0, 0.9817
7, 1, 0.9811
7, 2, 0.9839
7, 3, 0.9825
7, 4, 0.9818
7, 5, 0.9833
7, 6, 0.9832
7, 7, 0.9829
7, 8, 0.9818
7, 9, 0.9830
7, 10, 0.9828
7, 11, 0.9826
7, 12, 0.9826
7, 13, 0.9830
7, 14, 0.9820
7, 15, 0.9821
7, 16, 0.9834
7, 17, 0.9816
7, 18, 0.9818
7, 19, 0.9816
7, 20, 0.9815
7, 21, 0.9797
7, 22, 0.9830
7, 23, 0.9827
7, 24, 0.9826
7, 25, 0.9797
7, 26, 0.9801
7, 27, 0.9827
7, 28, 0.9798
7, 29, 0.9811
7, 30, 0.9824
7, 31, 0.9818
7, 32, 0.9802
7, 33, 0.9786
7, 34, 0.9817
7, 35, 0.9810
7, 36, 0.9799
7, 37, 0.9832
7, 38, 0.9825
7, 39, 0.9812
7, 40, 0.9835
7, 41, 0.9821
7, 42, 0.9835
8, 0, 0.9817
8, 1, 0.9800
8, 2, 0.9803
8, 3, 0.9803
8, 4, 0.9829
8, 5, 0.9825
8, 6, 0.9821
8, 7, 0.9825
8, 8, 0.9815
8, 9, 0.9794
8, 10, 0.9828
8, 11, 0.9824
8, 12, 0.9817
8, 13, 0.9797
8, 14, 0.9812
8, 15, 0.9836
8, 16, 0.9822
8, 17, 0.9824
8, 18, 0.9830
8, 19, 0.9830
8, 20, 0.9832
8, 21, 0.9810
8, 22, 0.9797
8, 23, 0.9817
8, 24, 0.9818
8, 25, 0.9837
8, 26, 0.9826
