epoch, i, loss
56, 4, 0.0011
57, 0, 0.0010
57, 1, 0.0029
57, 2, 0.0011
57, 3, 0.0023
57, 4, 0.0030
58, 0, 0.0012
58, 1, 0.0006
58, 2, 0.0017
58, 3, 0.0042
58, 4, 0.0015
59, 0, 0.0010
59, 1, 0.0026
59, 2, 0.0023
59, 3, 0.0019
59, 4, 0.0017
60, 0, 0.0018
60, 1, 0.0017
60, 2, 0.0022
60, 3, 0.0021
60, 4, 0.0008
61, 0, 0.0035
61, 1, 0.0020
61, 2, 0.0008
61, 3, 0.0015
61, 4, 0.0005
62, 0, 0.0010
62, 1, 0.0026
62, 2, 0.0020
62, 3, 0.0021
62, 4, 0.0008
63, 0, 0.0012
63, 1, 0.0009
63, 2, 0.0021
63, 3, 0.0025
63, 4, 0.0043
64, 0, 0.0023
64, 1, 0.0010
64, 2, 0.0016
64, 3, 0.0027
64, 4, 0.0014
65, 0, 0.0018
65, 1, 0.0013
65, 2, 0.0021
65, 3, 0.0023
65, 4, 0.0020
66, 0, 0.0009
66, 1, 0.0021
66, 2, 0.0019
66, 3, 0.0019
66, 4, 0.0039
67, 0, 0.0029
67, 1, 0.0011
67, 2, 0.0015
67, 3, 0.0021
67, 4, 0.0006
68, 0, 0.0027
68, 1, 0.0013
68, 2, 0.0024
68, 3, 0.0013
68, 4, 0.0006
69, 0, 0.0013
69, 1, 0.0019
69, 2, 0.0023
69, 3, 0.0026
69, 4, 0.0003
70, 0, 0.0021
70, 1, 0.0016
70, 2, 0.0014
70, 3, 0.0021
70, 4, 0.0033
71, 0, 0.0012
71, 1, 0.0027
71, 0, 0.0020
71, 1, 0.0021
71, 2, 0.0015
71, 3, 0.0022
71, 4, 0.0013
72, 0, 0.0018
72, 1, 0.0009
72, 2, 0.0027
72, 0, 0.0036
72, 0, 0.0018
72, 1, 0.0016
72, 2, 0.0022
72, 3, 0.0018
72, 4, 0.0031
73, 0, 0.0028
73, 1, 0.0019
73, 2, 0.0023
73, 3, 0.0009
73, 4, 0.0011
74, 0, 0.0017
74, 1, 0.0010
74, 2, 0.0009
74, 3, 0.0036
74, 4, 0.0038
75, 0, 0.0011
75, 1, 0.0021
75, 2, 0.0016
75, 3, 0.0028
75, 4, 0.0016
76, 0, 0.0017
76, 0, 0.0015
76, 1, 0.0022
76, 2, 0.0010
76, 3, 0.0025
76, 4, 0.0039
77, 0, 0.0024
77, 1, 0.0007
77, 2, 0.0033
77, 3, 0.0016
77, 4, 0.0007
78, 0, 0.0016
78, 1, 0.0012
78, 2, 0.0009
78, 3, 0.0033
78, 4, 0.0039
79, 0, 0.0006
79, 1, 0.0019
79, 2, 0.0021
79, 3, 0.0031
79, 4, 0.0017
80, 0, 0.0008
80, 1, 0.0023
80, 2, 0.0023
80, 3, 0.0018
80, 4, 0.0040
81, 0, 0.0018
81, 1, 0.0021
81, 2, 0.0021
81, 3, 0.0018
81, 4, 0.0014
82, 0, 0.0029
82, 1, 0.0023
82, 2, 0.0015
82, 3, 0.0010
82, 4, 0.0010
83, 0, 0.0021
83, 1, 0.0015
83, 2, 0.0019
83, 3, 0.0022
83, 4, 0.0011
84, 0, 0.0013
84, 1, 0.0021
84, 2, 0.0019
84, 3, 0.0020
84, 4, 0.0022
85, 0, 0.0014
85, 1, 0.0020
85, 2, 0.0018
85, 3, 0.0019
85, 4, 0.0035
